(You're) Having My Baby       ; Paul Anka/Odia Coates       ; 1974
You Light Up My Life          ; Debby Boone                 ; 1977
Tie A Yellow Ribbon           ; Dawn featuring Tony Orlando ; 1973
I Write The Songs             ; Barry Manilow               ; 1975
Honey                         ; Bobby Goldsboro             ; 1968
Muskrat Love                  ; The Captain & Tenille       ; 1976
Feelings                      ; Morris Albert               ; 1975
Venus                         ; Bananarama                  ; 1987
Watching Scotty Grow          ; Bobby Goldsboro             ; 1971
A Horse With No Name          ; America                     ; 1972
Copacabana (At The Copa)      ; Barry Manilow               ; 1978
Yummy Yummy Yummy             ; Ohio Express                ; 1968
Afternoon Delight             ; Starland Vocal Band         ; 1976
Billy, Don't Be A Hero        ; Bo Donaldson & the Heywoods ; 1974
Ballad of the Green Berets    ; Sgt. Barry Sadler           ; 1966
Daddy Don't You Walk So Fast  ; Wayne Newton                ; 1972
You Light Up My Life          ; Debby Boone                 ; 1977
Tie A Yellow Ribbon           ; Dawn featuring Tony Orlando ; 1973
I Write The Songs             ; Barry Manilow               ; 1975
Honey                         ; Bobby Goldsboro             ; 1968
Candy Man                     ; Sammy Davis Jr              ; 1972
In The Year 2525              ; Zager & Evans               ; 1969
I've Never Been To Me         ; Charlene                    ; 1982
Seasons in the Sun            ; Terry Jacks                 ; 1973
Alone Again (Naturally)       ; Gilbert O'Sullivan          ; 1972
Paper Roses                   ; Marie Osmond                ; 1973
Me and You and a Dog Named Boo; Lobo                        ; 1971
Torn Between Two Lovers       ; Mary MacGregor              ; 1976
Sunshine On My Shoulders      ; John Denver                 ; 1974
I'm Henry VIII, I Am          ; Herman's Hermits            ; 1965
A Fifth of Beethoven          ; Walter Murphy/Big Apple Band; 1976
Wake Me Up Before You Go-Go   ; Wham!                       ; 1984
After The Lovin'              ; Englebert Humperdinck       ; 1976
Sometimes When We Touch       ; Dan Hill                    ; 1978
Ebony and Ivory               ; Paul McCartney/Stevie Wonder; 1982
Escape (The Pina Colada Song) ; Rupert Holmes               ; 1979
Put Your Hand In The Hand     ; Ocean                       ; 1971
Have You Never Been Mellow    ; Olivia Newton-John          ; 1975
Kung Fu Fighting              ; Carl Douglas                ; 1975
Da Doo Ron Ron                ; Shaun Cassidy               ; 1977
I Am Woman                    ; Helen Reddy                 ; 1971
We Love You, Call Collect     ; Art Linkletter              ; 1969
Party All The Time            ; Eddie Murphy                ; 1985
Fernando                      ; ABBA                        ; 1976
Those Were The Days           ; Mary Hopkin                 ; 1968
Love Will Keep Us Together    ; The Captain & Tenille       ; 1975
Jean                          ; Oliver                      ; 1969
The Night Chicago Died        ; Paper Lace                  ; 1974
Venus                         ; Bananarama                  ; 1987
Watching Scotty Grow          ; Bobby Goldsboro             ; 1971
A Horse With No Name          ; America                     ; 1972
Copacabana (At The Copa)      ; Barry Manilow               ; 1978
Indian Reservation            ; Raiders                     ; 1971
You Light Up My Life          ; Debby Boone                 ; 1977
Tie A Yellow Ribbon           ; Dawn featuring Tony Orlando ; 1973
I Write The Songs             ; Barry Manilow               ; 1975
Honey                         ; Bobby Goldsboro             ; 1968
Under The Boardwalk           ; Bruce Willis                ; 1987
Precious and Few              ; Climax                      ; 1972
Do the Clam                   ; Elvis Presley               ; 1965
Good Morning Starshine        ; Oliver                      ; 1969
Pac-Man Fever                 ; Buckner & Garcia            ; 1982
Paper Roses                   ; Marie Osmond                ; 1973
Me and You and a Dog Named Boo; Lobo                        ; 1971
Torn Between Two Lovers       ; Mary MacGregor              ; 1976
Sunshine On My Shoulders      ; John Denver                 ; 1974
I'm Henry VIII, I Am          ; Herman's Hermits            ; 1965
You Light Up My Life          ; Debby Boone                 ; 1977
Tie A Yellow Ribbon           ; Dawn featuring Tony Orlando ; 1973
I Write The Songs             ; Barry Manilow               ; 1975
Honey                         ; Bobby Goldsboro             ; 1968
A Fifth of Beethoven          ; Walter Murphy/Big Apple Band; 1976
Wake Me Up Before You Go-Go   ; Wham!                       ; 1984
After The Lovin'              ; Englebert Humperdinck       ; 1976
Muskrat Love                  ; The Captain & Tenille       ; 1976
Feelings                      ; Morris Albert               ; 1975
Venus                         ; Bananarama                  ; 1987
Watching Scotty Grow          ; Bobby Goldsboro             ; 1971
A Horse With No Name          ; America                     ; 1972
Copacabana (At The Copa)      ; Barry Manilow               ; 1978
Yummy Yummy Yummy             ; Ohio Express                ; 1968
Afternoon Delight             ; Starland Vocal Band         ; 1976
Billy, Don't Be A Hero        ; Bo Donaldson & the Heywoods ; 1974
Ballad of the Green Berets    ; Sgt. Barry Sadler           ; 1966
Daddy Don't You Walk So Fast  ; Wayne Newton                ; 1972
You Light Up My Life          ; Debby Boone                 ; 1977
Tie A Yellow Ribbon           ; Dawn featuring Tony Orlando ; 1973
I Write The Songs             ; Barry Manilow               ; 1975
Honey                         ; Bobby Goldsboro             ; 1968
Candy Man                     ; Sammy Davis Jr              ; 1972
In The Year 2525              ; Zager & Evans               ; 1969
I've Never Been To Me         ; Charlene                    ; 1982
Seasons in the Sun            ; Terry Jacks                 ; 1973
Venus                         ; Bananarama                  ; 1987
Watching Scotty Grow          ; Bobby Goldsboro             ; 1971
A Horse With No Name          ; America                     ; 1972
Copacabana (At The Copa)      ; Barry Manilow               ; 1978
I've Never Been To Me         ; Charlene                    ; 1982
Seasons in the Sun            ; Terry Jacks                 ; 1973
Venus                         ; Bananarama                  ; 1987
